Gene	Annotation
recN	DNA repair protein RecN
group_3506	hypothetical protein
tdcB	L-threonine dehydratase catabolic TdcB
emrB	Multidrug export protein EmrB
tnrA	MerR family regulatory protein
ppgK	Polyphosphate glucokinase
pdhD	Dihydrolipoyl dehydrogenase
group_3606	hypothetical protein
acnA	Aconitate hydratase
fadA	3-ketoacyl-CoA thiolase
fliQ	Flagellar biosynthetic protein FliQ
bchI	Magnesium-chelatase 38 kDa subunit
ylmA_1	putative ABC transporter ATP-binding protein YlmA
tkt	Transketolase
gltB_2	Glutamate synthase [NADPH] small chain
gltB_1	Glutamate synthase [NADPH] large chain
hisF	Imidazole glycerol phosphate synthase subunit HisF
rpe	Ribulose-phosphate 3-epimerase
group_3624	hypothetical protein
aroB	3-dehydroquinate synthase
group_3626	replication factor C small subunit
stp_2	Serine/threonine phosphatase stp
group_3628	hypothetical protein
rsrA	hypothetical protein
tuaD_2	UDP-glucose 6-dehydrogenase TuaD
glgE1	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 1
frr	Ribosome-recycling factor
xylE	D-xylose-proton symporter
leuD	3-isopropylmalate dehydratase small subunit
mtlD_2	Mannitol-1-phosphate 5-dehydrogenase
rmlA2	Glucose-1-phosphate thymidylyltransferase 2
group_3637	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
dnaX_2	DNA polymerase III subunit tau
tuaD_1	UDP-glucose 6-dehydrogenase TuaD
group_3640	preprotein translocase subunit SecE
hepT	Heptaprenyl diphosphate synthase component 2
rpsE	30S ribosomal protein S5
glmM	Phosphoglucosamine mutase
group_3646	hypothetical protein
ptpA_1	putative low molecular weight protein-tyrosine-phosphatase
livH	High-affinity branched-chain amino acid transport system permease protein LivH
glpD_1	Aerobic glycerol-3-phosphate dehydrogenase
yhaU	K( )/H( ) antiporter YhaU
group_3651	hypothetical protein
uvrD1_1	ATP-dependent DNA helicase UvrD1
galT	Galactose-1-phosphate uridylyltransferase
glyA1	Serine hydroxymethyltransferase 1
dnaX_1	DNA polymerase III subunit tau
fdm_2	Formaldehyde dismutase
nei1_2	Endonuclease 8 1
rpiB_2	Ribose-5-phosphate isomerase B
group_3673	hypothetical protein
recQ_2	ATP-dependent DNA helicase RecQ
ppnK_1	putative inorganic polyphosphate/ATP-NAD kinase
lysX	Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX
group_3683	Rossmann-like domain protein
hemB	Delta-aminolevulinic acid dehydratase
group_3686	Putative NrdI-like protein
group_3688	ski2-like helicase
gpmA_1	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
group_3692	hypothetical protein
pbpA	Penicillin-binding protein A
dapE_2	Succinyl-diaminopimelate desuccinylase
group_3696	hypothetical protein
pncB1	Nicotinate phosphoribosyltransferase pncB1
valS	Valine--tRNA ligase
argC	N-acetyl-gamma-glutamyl-phosphate reductase
hisB	Imidazoleglycerol-phosphate dehydratase
group_3709	CGNR zinc finger
araP_4	L-arabinose transport system permease protein AraP
group_3716	hypothetical protein
pyrE	Orotate phosphoribosyltransferase
sigK_2	ECF RNA polymerase sigma factor SigK
pstA	Phosphate transport system permease protein PstA
pstC	Phosphate transport system permease protein PstC
group_3725	hypothetical protein
group_3762	hypothetical protein
hslR	Heat shock protein 15
dnaE	DNA polymerase III subunit alpha
ctaD	Cytochrome c oxidase subunit 1
group_3832	Trans,polycis-polyprenyl diphosphate synthase ((2Z,6E)-farnesyl diphosphate specific)
dus	putative tRNA-dihydrouridine synthase
fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2
group_3840	FlgN protein
petB	Cytochrome b6
qcrC	Menaquinol-cytochrome c reductase cytochrome c subunit
carAc	Ferredoxin CarAc
uvrB	UvrABC system protein B
atpB	ATP synthase subunit a
thrC	Threonine synthase
argS	Arginine--tRNA ligase
ydhP	Inner membrane transport protein YdhP
rpsB	30S ribosomal protein S2
gpsA	Glycerol-3-phosphate dehydrogenase [NAD(P) ]
ilvB	Acetolactate synthase large subunit
strE	dTDP-glucose 4,6-dehydratase
group_3858	N-acetylglucosamine repressor
fprA	NADPH-ferredoxin reductase FprA
ubiE	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
group_3861	hypothetical protein
rplD	50S ribosomal protein L4
guaA	GMP synthase [glutamine-hydrolyzing]
pheA	Prephenate dehydratase
pgm	Phosphoglucomutase
argA	Amino-acid acetyltransferase
nrdH	Glutaredoxin-like protein NrdH
rnhA	Ribonuclease HI
lysN_1	2-aminoadipate transaminase
fhaA	FHA domain-containing protein FhaA
greA	Transcription elongation factor GreA
group_3890	ATP-dependent helicase HepA
argB	Acetylglutamate kinase
metG	Methionine--tRNA ligase
ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
sugB_4	Trehalose transport system permease protein SugB
parA_1	Chromosome partitioning protein ParA
rsbV	Anti-sigma-B factor antagonist
group_3899	hypothetical protein
pstB3	Phosphate import ATP-binding protein PstB 3
garA	Glycogen accumulation regulator GarA
erpA	Iron-sulfur cluster insertion protein ErpA
group_3977	Putative peroxiredoxin/MT2298
rmpA	3-hexulose-6-phosphate synthase
group_3985	putative transcriptional regulatory protein/MSMEI_2866
ruvB	Holliday junction ATP-dependent DNA helicase RuvB
aioB	Arsenite oxidase subunit AioB precursor
tal_1	Transaldolase
gapA	Glyceraldehyde-3-phosphate dehydrogenase
group_3993	hypothetical protein
hisG	ATP phosphoribosyltransferase
metK	S-adenosylmethionine synthase
rarA	Replication-associated recombination protein A
wecA	Decaprenyl-phosphate N-acetylglucosaminephosphotransferase
rpsP	30S ribosomal protein S16
otsA	Trehalose-phosphate synthase
glmS_2	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
tsaD	tRNA N6-adenosine threonylcarbamoyltransferase
dps2	DNA protection during starvation protein 2
purB	Adenylosuccinate lyase
guaB_1	Inosine-5'-monophosphate dehydrogenase
dcd	Deoxycytidine triphosphate deaminase
group_4021	hypothetical protein
ftsH	ATP-dependent zinc metalloprotease FtsH
group_4023	hypothetical protein
gtaB	UTP--glucose-1-phosphate uridylyltransferase
group_4027	hypothetical protein
group_4028	hypothetical protein
yidC_1	Membrane protein insertase YidC
dnaN	DNA polymerase III subunit beta
gyrB_1	DNA gyrase subunit B
group_4038	hypothetical protein
crgA	Cell division protein CrgA
gcvH	Glycine cleavage system H protein
gltA2	Citrate synthase 1
group_4044	hypothetical protein
dapA	4-hydroxy-tetrahydrodipicolinate synthase
pnp	Polyribonucleotide nucleotidyltransferase
ppnK_2	Inorganic polyphosphate/ATP-NAD kinase
xylA	Xylose isomerase
purL	Phosphoribosylformylglycinamidine synthase 2
tig	Trigger factor
ispB	Octaprenyl-diphosphate synthase
rpsT	30S ribosomal protein S20
flgC	Flagellar basal-body rod protein FlgC
fliR	Flagellar biosynthetic protein FliR
ndh_1	NADH dehydrogenase-like protein
fabG1	3-oxoacyl-[acyl-carrier-protein] reductase FabG1
group_4175	Glucose-6-phosphate dehydrogenase subunit
ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
ftsX	Cell division protein FtsX
prfB	Peptide chain release factor 2
tsf	Elongation factor Ts
ffh	Signal recognition particle protein
group_4182	Ureidoglycolate lyase
ilvC	Ketol-acid reductoisomerase
ilvD	Dihydroxy-acid dehydratase
group_4186	hypothetical protein
uhpA_1	Transcriptional regulatory protein UhpA
group_4188	hypothetical protein
group_4189	Inner membrane ABC transporter permease protein YcjP
sodA	Superoxide dismutase [Mn/Fe]
coaA	Pantothenate kinase
khtT	K( )/H( ) antiporter subunit KhtT
bkdB	3-methyl-2-oxobutanoate dehydrogenase subunit beta
ptsG_2	PTS system glucose-specific EIICB component
lrp_2	Leucine-responsive regulatory protein
group_4206	UDP-glucose 4-epimerase
group_4207	hypothetical protein
ideR_2	Iron-dependent repressor IdeR
csp	Cold shock-like protein
group_4210	hypothetical protein
gntZ	6-phosphogluconate dehydrogenase, NAD( )-dependent, decarboxylating
group_4214	Putative O-methyltransferase/MSMEI_4947
gatB	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
metI	D-methionine transport system permease protein MetI
pyrG	CTP synthase
garK	Glycerate 2-kinase
hrpB_1	ATP-dependent RNA helicase HrpB
pitA_2	Low-affinity inorganic phosphate transporter 1
rsmC_2	Ribosomal RNA small subunit methyltransferase C
mraY	Phospho-N-acetylmuramoyl-pentapeptide-transferase
lepA	Elongation factor 4
ybeY	Endoribonuclease YbeY
group_4332	carbohydrate diacid transcriptional activator CdaR
pdxS	Pyridoxal biosynthesis lyase PdxS
ctaE	Cytochrome c oxidase subunit 3
glpK	Glycerol kinase
rbpA_2	RNA polymerase-binding protein RbpA
glgC	Glucose-1-phosphate adenylyltransferase
ctaB	Protoheme IX farnesyltransferase
rbpA_1	RNA polymerase-binding protein RbpA
pdtaS	putative sensor histidine kinase pdtaS
rplL	50S ribosomal protein L7/L12
menB	1,4-Dihydroxy-2-naphthoyl-CoA synthase
rplE	50S ribosomal protein L5
deoR_2	Deoxyribonucleoside regulator
ppk	Polyphosphate kinase
gyrA_1	DNA gyrase subunit A
fba	Fructose-bisphosphate aldolase
ndkA	Nucleoside diphosphate kinase
purA	Adenylosuccinate synthetase
der	GTPase Der
gatA_2	Glutamyl-tRNA(Gln) amidotransferase subunit A
group_4509	1-acyl-sn-glycerol-3-phosphate acyltransferase
glyQS	Glycine--tRNA ligase
relA	Bifunctional (p)ppGpp synthase/hydrolase relA
yurY	Vegetative protein 296
trpB	Tryptophan synthase beta chain
group_4521	hypothetical protein
atpG	ATP synthase gamma chain
prfA	Peptide chain release factor 1
pyrH	Uridylate kinase
rplS	50S ribosomal protein L19
murA1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
mtrA	DNA-binding response regulator MtrA
srlR_1	Glucitol operon repressor
group_4531	putative nucleotide-binding protein
rplR	50S ribosomal protein L18
rplM	50S ribosomal protein L13
group_4535	leucine/isoleucine/valine transporter permease subunit
moeA	Molybdopterin molybdenumtransferase
sigA	RNA polymerase sigma factor SigA
rpsF	30S ribosomal protein S6
glmU_1	Bifunctional protein GlmU
modA	Molybdate-binding periplasmic protein precursor
nadD	Nicotinate-nucleotide adenylyltransferase
lexA	LexA repressor
group_4554	bifunctional RNase H/acid phosphatase
group_4555	hypothetical protein
group_456	hypothetical protein
group_4561	phosphoribosylformylglycinamidine synthase subunit PurS
purF	Amidophosphoribosyltransferase
yheS_1	putative ABC transporter ATP-binding protein YheS
group_4698	hypothetical protein
smpB	SsrA-binding protein
ftsY	Signal recognition particle receptor FtsY
sdhB	Succinate dehydrogenase iron-sulfur subunit
phoB	Phosphate regulon transcriptional regulatory protein PhoB
dnaB	Replicative DNA helicase
typA	GTP-binding protein TypA/BipA
prs	Ribose-phosphate pyrophosphokinase
fkbP_2	FK506-binding protein
purQ	Phosphoribosylformylglycinamidine synthase 1
gatC	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
comEA	ComE operon protein 1
group_475	hypothetical protein
group_476	T5orf172 domain protein
mrcA	Penicillin-binding protein 1A
glgX_3	Glycogen debranching enzyme
glkA	Glucokinase
sufB	FeS cluster assembly protein SufB
pyrR_1	xanthine-guanine phosphoribosyltransferase
ftsE	Cell division ATP-binding protein FtsE
accD5	putative propionyl-CoA carboxylase beta chain 5
sdhA	Succinate dehydrogenase flavoprotein subunit
recR	Recombination protein RecR
group_4879	Helix-turn-helix domain protein
upp	Uracil phosphoribosyltransferase
rplX	50S ribosomal protein L24
sucD	Succinyl-CoA ligase [ADP-forming] subunit alpha
dnaK	Chaperone protein DnaK
groL1	60 kDa chaperonin 1
cypB	Peptidyl-prolyl cis-trans isomerase B
clpP2_1	ATP-dependent Clp protease proteolytic subunit 2
rplU	50S ribosomal protein L21
rpmA	50S ribosomal protein L27
rpmI	50S ribosomal protein L35
eno	Enolase
nagD	Ribonucleotide monophosphatase NagD
group_4916	recombinase A
ftsZ	Cell division protein FtsZ
parA	Chromosome partitioning protein ParA
whiA	Putative sporulation transcription regulator WhiA
pyk	Pyruvate kinase
rpsD	30S ribosomal protein S4
atpC	ATP synthase epsilon chain
atpA	ATP synthase subunit alpha
narL	putative transcriptional regulatory protein NarL
rplA	50S ribosomal protein L1
rpsQ	30S ribosomal protein S17
rplO	50S ribosomal protein L15
group_5092	preprotein translocase subunit SecY
rpsI	30S ribosomal protein S9
group_5094	putative oxidoreductase/MSMEI_1564
rpmB	50S ribosomal protein L28
nrdF2	Ribonucleoside-diphosphate reductase subunit beta nrdF2
regX3_2	Sensory transduction protein regX3
clpX	ATP-dependent Clp protease ATP-binding subunit ClpX
comC	Type 4 prepilin-like proteins leader peptide-processing enzyme
group_521	putative oxidoreductase/MSMEI_2347
ribD_1	5-amino-6-(5-phosphoribosylamino)uracil reductase
ampH	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH precursor
hmrR	hypothetical protein
group_5331	cell division protein MraZ
glnA	Glutamine synthetase
paaD	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D
zwf_1	Glucose-6-phosphate 1-dehydrogenase
efp	Elongation factor P
ask	Aspartokinase
fusA	Elongation factor G
tuf	Elongation factor Tu
rplW	50S ribosomal protein L23
rplF	50S ribosomal protein L6
hpt	Hypoxanthine-guanine phosphoribosyltransferase
nrdE2	Ribonucleoside-diphosphate reductase subunit alpha 2
rplI	50S ribosomal protein L9
rpmH	50S ribosomal protein L34
group_5376	Ferredoxin
clpP2_2	ATP-dependent Clp protease proteolytic subunit 2
crcB	Putative fluoride ion transporter CrcB
uhpA_2	Transcriptional regulatory protein UhpA
group_5626	hypothetical protein
ilvH	Acetolactate synthase small subunit
rplC	50S ribosomal protein L3
rpmC	50S ribosomal protein L29
rpsH	30S ribosomal protein S8
rpsN	30S ribosomal protein S14
hup	DNA-binding protein HU
rpsO	30S ribosomal protein S15
group_57	hypothetical protein
group_586	hypothetical protein
trxB_2	Thioredoxin reductase
group_596	hypothetical protein
ycjS_1	putative oxidoreductase YcjS
rpoZ	DNA-directed RNA polymerase subunit omega
rplJ	50S ribosomal protein L10
rplV	50S ribosomal protein L22
rpsC	30S ribosomal protein S3
rpmD	50S ribosomal protein L30
trxA_1	Thioredoxin-1
rplT	50S ribosomal protein L20
yghA_4	putative oxidoreductase YghA
group_608	hypothetical protein
group_609	hypothetical protein
group_611	hypothetical protein
rluB	Ribosomal large subunit pseudouridine synthase B
oppD_1	Oligopeptide transport ATP-binding protein OppD
opuCA_2	Carnitine transport ATP-binding protein OpuCA
acpP	Acyl carrier protein
group_639	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
group_6394	hypothetical protein
rpmE2	50S ribosomal protein L31 type B
group_6402	preprotein translocase subunit SecG
atpE	ATP synthase subunit c
group_6407	hypothetical protein
group_6408	50S ribosomal protein L32
ogt	Methylated-DNA--protein-cysteine methyltransferase
rplK	50S ribosomal protein L11
rpoB	DNA-directed RNA polymerase subunit beta
rplB	50S ribosomal protein L2
rplP	50S ribosomal protein L16
rplN	50S ribosomal protein L14
rpsM	30S ribosomal protein S13
clgR	Transcriptional regulator ClgR
pdtaR	putative transcriptional regulatory protein pdtaR
atpD	ATP synthase subunit beta
rpoC	DNA-directed RNA polymerase subunit beta'
rpsG	30S ribosomal protein S7
rpsS	30S ribosomal protein S19
infA	Translation initiation factor IF-1
groS	10 kDa chaperonin
rpmG2	50S ribosomal protein L33 2
tcrX_2	putative transcriptional regulatory protein TcrX
ftsL	hypothetical protein
rpoA	DNA-directed RNA polymerase subunit alpha
isfD_1	Sulfoacetaldehyde reductase
ykfB	L-Ala-D/L-Glu epimerase
resA	Thiol-disulfide oxidoreductase ResA
xylG_2	Xylose import ATP-binding protein XylG
degQ	Periplasmic pH-dependent serine endoprotease DegQ precursor
cofC	2-phospho-L-lactate guanylyltransferase
group_722	hypothetical protein
group_727	Stress responsive A/B Barrel Domain protein
rpsL	30S ribosomal protein S12
rpsJ	30S ribosomal protein S10
group_743	hypothetical protein
carD	RNA polymerase-binding transcription factor CarD
rpsR1	30S ribosomal protein S18 1
dauA	C4-dicarboxylic acid transporter DauA
cpdA_2	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
miaA	tRNA dimethylallyltransferase
group_770	Mannosyltransferase (PIG-V))
ftsQ	Cell division protein FtsQ
group_792	Cell wall synthesis protein Wag31
group_795	hypothetical protein
thiL	Thiamine-monophosphate kinase
tsaE	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
tsaB	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
sbcC	Nuclease SbcCD subunit C
group_811	hypothetical protein
cytR_1	HTH-type transcriptional repressor CytR
mshD_1	Mycothiol acetyltransferase
rpsK	30S ribosomal protein S11
group_842	hypothetical protein
dnaJ_1	Chaperone protein DnaJ
group_852	prenyltransferase
csrA	Carbon storage regulator
dhaM	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM
mdeA_2	Methionine gamma-lyase
alx	Inner membrane protein alx
tag	DNA-3-methyladenine glycosylase 1
acuI	Acrylyl-CoA reductase AcuI
recX	recombination regulator RecX
trmH	tRNA (guanosine(18)-2'-O)-methyltransferase
ghrB	Glyoxylate/hydroxypyruvate reductase B
ykfC	Gamma-D-glutamyl-L-lysine endopeptidase
xerC	Tyrosine recombinase XerC
glbO	Group 2 truncated hemoglobin GlbO
ssb1	Single-stranded DNA-binding protein 1
mutT	bifunctional nicotinamide mononucleotide adenylyltransferase/ADP-ribose pyrophosphatase
mak	Maltokinase
mscL	Large-conductance mechanosensitive channel
drrA_2	Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
group_976	hypothetical protein
argO	Arginine exporter protein ArgO
group_981	hypothetical protein
